""
"Nom	Bassin versant	Cours d'eau	Type	Puissance installée1 (MW)	Nombre de groupes	Hauteur de chute2 (m)	Mise en service3"
"Beauharnois	Saint-Laurent	Lac Saint-François et canal de Beauharnois	Fil de l'eau	1 864	36	24,39	1932-1961"
"Beaumont	Saint-Maurice	Rivière Saint-Maurice	Fil de l'eau	270	6	37,8	1958-1959"
"Bernard-Landry (Eastmain-1-A)	La Grande	Rivière Eastmain	Réservoir	768	3	63	2011-2012"
"Bersimis-1	Betsiamites	Rivière Betsiamites	Réservoir	1 125	8	266,7	1956-1959"
"Bersimis-2	Betsiamites	Rivière Betsiamites	Fil de l'eau	845	5	115,83	1959-1960"
"Brisay	La Grande	Rivière Caniapiscau	Réservoir	469	2	37,5	1993"
"Bryson	Outaouais (inférieur)	Rivière des Outaouais	Fil de l'eau	68	3	18,29	1925-1949"
"Carillon	Outaouais (inférieur)	Rivière des Outaouais	Fil de l'eau	762	14	17,99	1962-1964"
"Chelsea	Outaouais (inférieur)	Rivière Gatineau	Fil de l'eau	144	5	28,35	1927-1939"
"Chute-Allard	Saint-Maurice	Rivière Saint-Maurice	Fil de l'eau	62	6	17,83	2008-2009"
"Chute-Bell	Outaouais (inférieur)	Rivière Rouge	Fil de l'eau	10	2	17,8	1915-2011"
"Chute-des-Chats	Outaouais (inférieur)	Rivière des Outaouais	Fil de l'eau	92	4	16,16	1931"
"Chute-Hemmings	Saint-François	Rivière Saint-François	Fil de l'eau	29	6	14,64	1925"
"Drummondville	Saint-François	Rivière Saint-François	Fil de l'eau	16	4	9,1	1919-1925"
"Eastmain-1	La Grande	Rivière Eastmain	Réservoir	480	3	63	2006"
"Hart-Jaune	Manicouagan	Rivière Hart-Jaune	Réservoir	51	3	39,6	1960"
"Jean-Lesage (Manic-2)	Manicouagan	Rivière Manicouagan	Fil de l'eau	1 229	8	70,11	1965-1967"
"La Gabelle	Saint-Maurice	Rivière Saint-Maurice	Fil de l'eau	124	5	17,38	1924-1931"
"La Grande-1	La Grande	La Grande Rivière	Fil de l'eau	1 436	12	27,5	1994-1995"
